治家	12:2;23:1;7:1
耸了耸	4:1
耸了耸肩	4:1
耸入	17:1
耸出	28:1
耸立	14:1;31:1;7:1
耸立着	14:1
耸耸	32:1;6:1
耸肩	4:2;2:1;28:1
耸起	28:1
耻唇	1:1
耻笑	25:3;2:1;29:1;4:1
耻辱	17:7;21:7;5:6;10:5;25:5;29:5;1:4;23:4;19:3;3:3;15:2;20:2;32:2;4:2;27:13;2:11;31:10;12:1;14:1;22:1;24:1;26:1;28:1
耽	1:2
耽于	1:3;16:1;21:1
耽好	12:1;13:1
耽延	15:1;16:1
耽心	24:1
耽搁	4:7;11:4;18:4;1:3;14:3;3:3;20:2;21:2;23:2;24:2;32:2;9:2;31:13;0:1;12:1;15:1;22:1;25:1;26:1;27:1;29:1;30:1;5:1;6:1;7:1;8:1
耽误	5:4;25:3;7:2;0:1;12:1;17:1;20:1;23:1;26:1;29:1;31:1;4:1;9:1
耽误时间	5:1
耿介	24:1
耿直	24:1
耿耿	31:3;15:2;17:2;24:2;0:1;1:1;10:1;12:1;19:1;27:1;28:1;4:1
聂	8:1
聂尔	14:7;19:31
聂尔退	19:1
聆	27:1;8:1
聆大教	7:1
聆接	15:1
聆过	8:1
聊以	13:1;19:1;25:1;31:1;6:1;7:1
聊以自慰	25:1;31:1;7:1
聊博一笑	12:1
聊堪	19:1;4:1
聊天	17:1;7:1
聊持	26:1
聊生	2:1;31:1
聊胜于无	5:1
聊表	0:1;31:1
聊表寸心	31:1
聋	29:3;1:1;14:1;31:1;32:1
聋子	1:3;11:1;2:1;28:1
聋聩	27:2
职	13:1;23:1
职业	24:3;1:2;31:2;8:2;10:1;23:1;28:1;32:1
职位	31:8;26:3;1:2;25:2;17:1;24:1;27:1
职分	30:2;14:1;31:1
职务	24:5;31:4;10:3;0:2;17:2;26:2;1:1;16:1;18:1;2:1;25:1;29:1;30:1;4:1
职司	5:1
职守	25:3;0:1;23:1;24:1
职权	24:3;2:1;23:1;26:1
职衔	31:3
职责	24:4;17:2;25:2;26:2;21:1
职责所在	26:1
聒噪	10:1;26:1;6:1
聒耳	21:1
联合	31:5;2:4;15:3;22:3;1:2;10:2;29:2;27:1
联名	17:1
联姻	25:1
联想	17:1
联盟	31:6;17:2;13:1
联系	10:2;31:2;22:1;24:1;8:1
联结	10:1;26:1;27:1
联络	12:1;32:1
联肩	24:1
聘	24:1
聘礼	14:5;5:1
聚	24:1
聚众	24:1
聚会	1:1;10:1;24:1;25:1;26:1;32:1;8:1
聚合	28:1
聚在一起	1:1;31:1;6:1
聚成	31:1
聚拢	17:1
聚精会神	28:1
聚集	15:2;1:1;10:1;13:1;21:1;25:1;28:1;29:1;31:1;32:1
聚首	22:1;25:1;32:1;8:1;9:1
聪慧	19:1
聪明	26:8;5:8;13:7;18:7;20:7;23:6;3:6;7:6;12:5;25:5;29:5;32:5;2:4;28:4;4:4;10:3;30:23;16:22;15:2;22:2;31:2;8:2;9:2;0:18;19:15;21:15;11:11;6:11;1:10;14:1;17:1;27:1
聪明人	0:8;19:5;11:4;13:4;21:4;26:4;1:3;20:3;23:3;12:2;18:2;3:2;30:2;7:2;16:10;25:1;27:1;28:1;32:1;4:1;5:1
聪明正直	29:1;32:1;4:1;6:1
聪明起来	28:1
肃然	17:2;12:1;32:1
肃然起敬	12:1;17:1
肃穆	27:1;28:1;31:1
肃立	8:1
肃静	32:2;2:1;24:1;4:1
肆其	13:1
肆口	3:1;31:1
肆意	23:1;26:1;27:1;31:1;32:1;6:1
肆意横行	32:1
肆无忌惮	31:2;20:1;7:1
肆虐	15:1;25:1;31:1
肆行	1:1;13:1;31:1;7:1
肇事	26:1
肇祸	25:1;31:1;5:1
肇起	26:1
肉	14:8;13:7;8:7;9:7;1:5;12:5;18:5;17:3;20:3;30:3;31:3;16:2;24:2;3:2;4:2;6:16;10:1;11:1;15:1;19:1;2:1;22:1;26:1;28:1;29:1;5:1;7:1
肉体	23:7;1:6;26:6;12:5;31:4;20:3;24:3;27:3;17:2;18:2;19:2;29:2;30:2;5:2;7:2;13:1;3:1;8:1
肉体上	12:3;23:2;1:1;24:1;29:1;30:1;7:1
肉儿	19:1
肉山	1:1
肉市	31:1
肉搏	31:1
肉来	6:3;2:1
肉桂	22:1
肉欲	28:1;31:1
肉片	18:1
肉瘤	1:12;21:1
肉皮	19:1
肉眼	19:2;25:1;31:1
肉色	17:1
肉袋	28:1
肉跳	19:2;0:1;22:1
肉跳心惊	19:2
肉身	25:3;17:1;4:1
肉酱	31:2;1:1;26:1;3:1
肉铺	26:1
肉食	13:8;27:1
肉饼	5:2
肉骨	21:1
肋条	18:1
肋骨	16:3;1:1;21:1;26:1;27:1;6:1
肌肉	1:1;28:1;7:1
肌肤	10:1;12:1;15:1;19:1;20:1;26:1;7:1
肌骨	9:1
肖像	12:2;0:1;1:1;4:1;7:1
肘	1:1;32:1
肘子	19:1
肘腋	22:1
肘腋之患	22:1
肚子	21:5;4:5;12:4;14:4;16:4;23:4;30:4;0:3;13:3;20:3;24:3;6:3;7:3;9:3;19:2;26:2;31:2;32:2;1:19;2:14;18:11;17:10;11:1;25:1;28:1;29:1
肚子饿	0:2;12:2;14:1;2:1;30:1;4:1
肚带	14:1
肚皮	15:2;19:2;14:1;23:1;24:1;3:1;30:1
肚罩	4:1
肚肠	21:1;28:1;29:1;30:1
肚脐	22:1
肚腹	25:1
肚腹里	25:1
肚里	1:2;17:2;13:1;23:1;31:1;5:1;8:1
肝	21:2;22:1;6:1
肝火	19:2;1:1;3:1;31:1
肝病	30:1
肝肠	22:1;26:1
肝胆	1:1;6:1
肝脏	0:2;1:1;4:1
肠	16:1
肠子	1:1;17:1;18:1
肠管	26:1
肠肥脑满	1:1
肠胃	13:2;1:1;17:1;19:1;27:1;29:1;31:1;6:1
股	0:1;14:1;18:1;24:1
股掌	31:1
股掌之上	31:1
股肉	12:1
股肱	10:1;11:1;24:1
股肱之力	24:1
股胖	1:1
股逆潮	25:1
肢体	5:3;1:2;2:2;31:2;32:2;7:2;0:1;10:1;12:1;21:1;24:1;29:1;8:1
肢翼	27:1
肢裂	15:2
肢解	32:1
肤功	1:1
肤浅	25:1;7:1
肤色	19:4;6:3;15:2;11:1;26:1;3:1;31:1;9:1
肥	7:3;14:2;19:2;1:1;23:1;3:1;31:1
肥壮	31:2
肥大	1:1
肥得	1:1
肥料	1:1;13:1;17:1;27:1;7:1
肥沃	13:2;17:2;31:2;1:1;28:1
肥猪	1:4;7:1
肥甘	25:1
肥田	28:1;7:1
肥瘦	12:1
肥睹	24:1
肥羊	16:1
肥美	12:1;29:1
肥肉	1:4;17:1;3:1
肥胖	1:4;13:1;15:1;16:1;21:1
肥茂	27:1
肩	7:2;15:1;16:1;18:1;20:1;21:1;31:1
肩上	9:2;1:1;12:1;17:1;19:1;24:1;28:1;29:1;31:1;32:1
肩下	26:1
肩头	25:4;27:2;31:2;10:1;24:1;4:1
肩巾	3:2;14:1;28:1
肩带	30:1
肩并肩	31:2
肩旁	4:1
肩直	1:1
肩胛	4:2;1:1
肩胛骨	4:2;1:1
肩膀	9:7;1:2;14:2;19:2;12:1;16:1;17:1;18:1;2:1;21:1;23:1;30:1;31:1;6:1
肩负	32:3;20:1
肩负着	32:1
肩部	1:1
肩骨	1:1
肮	23:1
肮脏	23:6;1:5;31:4;18:3;3:2;21:1;8:1
肯	31:7;16:5;14:3;25:3;28:3;4:3;10:2;23:2;24:2;29:2;3:2;9:2;11:1;13:1;15:1;17:1;18:1;20:1;26:1;27:1;30:1;32:1;6:1;7:1;8:1
肯上	7:1
肯不肯	31:5;16:4;28:4;1:3;30:2;15:1;17:1;26:1;3:1;32:1
肯为	0:1;11:1
肯伯雷	25:23
肯作	14:1
肯做	30:1;6:1
肯勃兰	22:2
肯坐	28:1
肯定	27:2;7:2;24:16;0:1;10:1;15:1;17:1;23:1;25:1;28:1;29:1;3:1;31:1;6:1
肯对	1:1
肯尼	31:1
肯放	31:2
肯替	28:1;3:1;31:1;4:1;5:1
肯来	0:1
肯特	20:176;31:17;1:1;25:1;27:1
肯特郡	31:14;25:1
肯硬	31:1
肯花	24:1
肯认	0:1
肯让	17:1
肯说	31:1
肯费些	17:1
肯赏	15:1
育儿	12:1
肴馔	22:1
肺	1:1;19:1;6:1
肺力	1:1
肺病	8:1
肺腑	24:1;31:1
肺部	2:2
肺里	17:1
肾砂	21:1
肿	14:2;1:1
肿毒	20:1;21:1
肿烂	22:1
肿病	24:1
肿胀	25:1
肿起	5:1
胀	20:2;26:2;16:1;18:1;2:1;27:1
胀痛	26:1
胀起	1:1
胁下	16:1
胁肩	11:1;12:1;13:1;20:1;32:1
胁肩谄笑	11:1;12:1;13:1;20:1;32:1
胁迫	12:1;25:1
胃	17:1;22:1;26:1;28:1;8:1
胃口	18:5;1:3;14:3;15:3;24:3;12:2;30:2;0:1;17:1;21:1;23:1;28:1;3:1;31:1;4:1;6:1
胃囊	22:1
胃扮	19:1
胃纳	22:1
胃里	13:1
胆	15:1;17:1;19:1
胆大	25:3;18:2;24:2;3:2;5:2;12:1;15:1;20:1;23:1;29:1
胆大包天	24:2
胆大妄为	25:2;12:1;18:1;20:1;23:1;3:1
胆大心细	5:1
胆子	0:3;18:3;1:2;17:2;24:2;13:1;14:1;15:1;19:1;2:1;23:1;25:1;26:1;28:1;3:1;4:1
胆寒	25:1;5:1
胆小	31:20;15:2;16:2;17:2;25:2;28:2;3:2;10:1;12:1;21:1;23:1;26:1;27:1;32:1;4:1
胆小如鼠	17:1;25:1
胆小怕事	15:1;21:1;27:1;31:1
胆小鬼	31:12;17:1;25:1
胆怯	31:4;1:3;0:2;22:2;10:1;16:1;18:1;20:1;23:1;27:1;4:1
胆战	15:1
胆战心寒	25:1
胆战心惊	31:3
胆战心慌	15:1
胆敢	1:5;12:5;17:4;29:2;4:2;13:1;15:1;16:1;18:1;20:1;21:1;26:1;27:1;28:1;3:1;31:1;5:1;7:1;8:1
胆气	17:1;25:1
胆汁	22:2;12:1;21:1;31:1
胆裂	10:1;22:1;25:1;29:1;8:1
胆量	17:6;31:6;1:5;27:5;20:4;3:3;30:3;10:2;12:2;14:2;2:2;22:2;26:2;5:2;6:2;9:2;0:1;11:1;15:1;16:1;21:1;25:1;28:1;32:1
胆颤	7:1
背	1:3;16:3;25:3;5:3;7:3;13:2;17:2;20:2;4:2;31:11;14:1;15:1;18:1;19:1;2:1;21:1;22:1;32:1
背上	1:3;21:3;5:3;10:2;14:2;16:2;31:2;6:2;0:1;13:1;15:1;19:1;2:1;20:1;23:1;25:1;27:1;28:1
背义	4:1
背书	19:1
背会	17:1
背信	19:5;1:1;11:1;16:1;27:1;3:1;31:1;5:1;6:1
背信弃义	11:1;31:1
背叛	25:3;26:2;27:2;31:11;11:1;20:1;24:1;3:1;7:1
背后	20:5;0:4;23:4;21:3;32:3;6:3;13:2;16:2;18:2;2:2;27:2;5:2;1:11;10:1;12:1;15:1;17:1;19:1;25:1;26:1;28:1;30:1;31:1
背回家去	28:1
背地	19:1;20:1;30:1
背地里	19:1;20:1;30:1
背子	31:1
背弃	31:7;25:4;26:1;4:1;5:1
背影	19:1
背得	17:2
背得动	24:1
背心	21:1;5:1
背戏	17:1
背时	20:1
背熟	0:4;15:1;19:1;7:1
背爱	10:1
背父	31:1
背痛	0:1;1:1;5:1
背盟	11:2;19:1;23:1;5:1
背着	26:4;16:1;18:1;20:1;22:1;25:1;31:1;5:1
背约	2:1;23:1
背脊	17:1;31:1
背膀	28:1;4:1
背誓	31:7;19:5;0:1;2:1;25:1;30:1;6:1;9:1
背诵	15:1;21:1;32:1;5:1;7:1
背负	7:3;27:2
背负着	27:1
背贴	31:1
背起	31:1;4:1
背过	22:1
背道而驰	21:1;24:1;31:1;7:1
背部	12:1
背驰	10:1
胎	25:2;23:1
胎中	25:1
胎儿	31:2;20:1;27:1
胎房	25:1
胎生	16:2;12:1;31:1;4:1;9:1
胎腹	25:1
胎记	15:1
胎里	31:1;6:1
胖	18:8;19:3;1:14;0:1;11:1;14:1;17:1;24:1;32:1;5:1;8:1;9:1
胖些	18:1
胖大	18:2;1:1
胖女人	18:1
胖子	1:4;10:1;17:1;18:1
胖得	18:1;4:1
胖汉	1:3
胖胖	1:3;16:2;10:1;21:1;29:1;32:1;7:1;9:1
胖胖的	1:3;16:1;21:1;32:1;7:1;9:1
胖贼	1:1
胚	17:1;20:1;28:1
胚们	31:1
胚子	17:2;20:1
胚胎	1:1;12:1;26:1
胚骨	20:1
胛骨	4:2;1:1
胜	2:2;31:2;1:1;10:1;19:1;21:1;25:1;30:1;32:1;8:1
胜于	4:3;12:1;13:1;29:1;5:1
胜仗	31:4;17:2;1:1;3:1
胜任	19:2;2:2;4:2;26:1;3:1
胜任愉快	19:1;4:1
胜似	31:2
胜利	12:9;27:6;19:4;20:4;22:4;29:4;7:4;31:30;5:3;6:3;14:2;17:2;30:2;8:2;25:17;2:16;1:14;10:14;21:11;32:11;13:1;16:1;24:1
胜利品	31:1;32:1
胜利者	31:3;12:2;21:2;1:1;25:1;29:1;32:1
胜如	13:1
胜算	22:2;10:1
胜者	25:2;14:1;17:1;30:1;31:1
胜负	25:5;10:3;2:2;21:2;31:2;1:1;17:1;20:1;22:1;3:1;32:1;7:1
胜败	12:2;10:1;19:1;21:1;22:1;29:1;31:1
胜过	10:9;12:7;21:6;3:4;1:3;2:3;6:3;20:2;23:2;31:2;5:2;0:1;13:1;17:1;26:1;27:1;28:1;7:1;8:1;9:1
胞兄	0:1;27:1;31:1
胞兄弟	0:1;27:1
胞囊	5:1
胞弟	31:1
胡	17:1;18:1;4:1
胡为	31:2
胡乱	26:2;1:1;11:1;2:1;31:1;6:1;7:1
胡作胡为	4:1
胡作非为	11:1;13:1;19:1;2:1;21:1;25:1;27:1;3:1;31:1;7:1
胡子	20:6;16:4;17:4;30:4;31:4;1:3;6:3;7:3;0:2;19:2;26:2;10:1;14:1;15:1;18:1;2:1;21:1;23:1;4:1;9:1
胡子生	16:1
胡思	21:2;22:2;10:1;16:1;18:1;20:1;5:1
胡思乱想	21:2;22:2;10:1;16:1;18:1;20:1;5:1
胡扯	15:1;16:1;17:1;23:1;3:1
胡桃	14:1;21:1;9:1
胡椒	14:5;1:2;0:1;18:1
胡索	17:1
胡缠	13:1
胡萝卜	17:1;18:1
胡葱	14:1
胡言	14:2;0:1;1:1;11:1;20:1;23:1;24:1;26:1;3:1;31:1;9:1
胡言乱语	14:2;20:1;31:1
胡言乱道	0:1;26:1
胡诌	24:1;32:1
胡话	31:2;0:1
胡说	4:7;5:6;1:5;14:5;30:5;19:4;26:4;9:4;18:3;22:3;24:3;31:3;7:3;0:2;10:2;11:2;17:2;2:2;21:2;23:2;3:2;13:1;16:1;27:1;28:1;29:1;32:1;6:1
胡说八道	1:3;21:2;26:2;30:2;5:2;7:2;0:1;11:1;14:1;17:1;18:1;19:1;2:1;28:1;31:1;32:1;4:1;6:1
胡调	3:2;30:1
胡赖	1:1
胡闹	7:7;1:5;20:4;18:3;31:3;0:2;27:2;3:2;30:2;4:2;9:2;13:1;14:1;17:1;26:1;5:1;6:1
胡须	21:6;7:5;0:4;30:4;18:3;4:3;1:2;14:2;2:2;20:2;28:2;3:2;16:10;13:1;15:1;17:1;19:1;22:1;31:1;5:1;8:1
胫	1:1;12:1
胫骨	13:1;18:1;28:1;5:1
胭脂	24:1
胯下	9:1
胳	5:2;21:1
胳膊	17:4;31:14;30:1
胳臂	2:6;20:5;32:4;26:2;10:1;3:1
胴	5:1
胶	1:1;28:1;7:1
胶似	17:1
胶住	7:1
胶泥	10:1
胶液	26:1
胶漆	13:1;14:1
胶粘	5:1
胸	12:1;15:1;5:1;7:1
胸上	5:1
胸中	27:3;1:2;10:2;22:2;31:2;0:1;12:1;17:1;25:1;28:1;4:1;5:1;7:1;9:1
胸前	10:5;27:4;11:3;19:3;2:3;29:3;12:2;24:2;26:2;4:2;5:2;6:2;14:1;15:1;3:1;31:1
胸口	20:2;21:2;11:1;15:1;28:1;3:1;30:1;5:1;6:1
胸壑	17:1
胸头	12:2;8:2;1:1;15:1;16:1;18:1;22:1;27:1;28:1;29:1;31:1;7:1
胸带	25:1
胸怀	31:6;5:2;17:1;7:1;8:1
胸有城府	17:1
胸碰胸	31:1
胸胃	15:1
胸脯	15:1;19:1;21:1;29:1;31:1
胸腔	25:2;31:2;32:1
胸腹	12:1;13:1;27:1
胸膛	31:7;25:5;27:5;2:3;22:3;24:3;32:3;1:2;10:2;15:2;21:2;26:2;29:2;5:2;6:2;12:1;13:1;19:1;20:1;23:1;28:1
胸臆	27:1
胸襟	13:3;24:1;26:1;27:1;31:1
胸部	6:1;7:1
胸间	22:1
胼手胝足	15:1
能不能够	32:1;6:1
能为	2:1;31:1;4:1
能事	1:1;16:1;19:1;25:1
能以	24:1;31:1
能任	31:1
能伸	19:1
能作	10:1
能制	31:1;8:1
能力	2:6;24:5;1:3;21:3;27:3;3:3;32:3;16:2;20:2;4:2;5:2;7:2;0:1;12:1;17:1;19:1;23:1;26:1;28:1;6:1;8:1
能及	31:2;26:1
能受	31:1
能变	6:1
能够	9:8;28:5;1:37;12:37;3:33;10:32;31:32;20:30;15:3;6:29;32:27;2:26;7:26;30:25;4:23;8:21;22:20;26:20;5:20;27:19;14:18;11:17;21:16;29:15;23:14;0:13;17:13;19:13;18:12;13:11;16:10;24:10
能容	1:3;31:3;29:2;0:1;2:1;20:1;28:1;5:1
能屈能伸	19:1
能干	11:2;23:2;1:1;10:1;25:1;26:1;28:1;31:1
能归骨	4:1
能征	10:1;2:1;3:1
能征惯战	10:1;2:1;3:1
能怪	12:1
能手	10:1;2:1;21:1;25:1;29:1;5:1
能换	25:1
能握	31:1
能救	31:1
能替	31:1
能染人	15:1
能歌善舞	26:1
能比	31:3;15:1
能活	27:1
能添	17:1
能留	25:1
能禁	19:1
能耐	3:2;11:1;26:1;7:1
能蒙	31:1
能行	31:2
能见	28:1
能言	19:1
能言善	30:2;14:1;32:1
能言善辩	30:2;14:1;32:1
能说会道	26:1;31:1
能量	10:1
脂油	1:3;18:2;12:1;9:1
脂粉	19:2;6:2;1:1;11:1;13:1;7:1
脂肪	16:2;18:1
脆弱	23:4;27:4;21:3;0:2;1:2;19:2;24:2;8:2;10:1;11:1;13:1;17:1;20:1;26:1;3:1;31:1;4:1;7:1
脉息	9:2
脉搏	28:2;1:1;21:1;5:1;7:1;8:1
脉管	17:2
脉脉	1:1;18:1;19:1;6:1
脉脉含情	18:1;19:1;6:1
脊梁	24:4;14:1;31:1
脊梁骨	24:1
脊背	31:1;9:1
脊骨	13:1;21:1
脊髓	14:1
脊髓炎	14:1
脍	21:1
脏	18:5;17:1;23:1
脏东西	6:1
脏得	1:1;16:1
脏成	14:1
脏病	23:1
脏腑	1:5;0:1;2:1;29:1;7:1
脏话	31:1
脑	14:1;2:1
脑中	28:2;32:2;5:2;1:1;17:1;21:1;22:1;25:1;29:1;30:1;7:1
脑儿	17:2;18:2;15:1;19:1;2:1;21:1;3:1;30:1;5:1
脑后	16:1;23:1;24:1;25:1;30:1
脑壳	9:4;7:3;2:2;21:2;1:1;26:1;4:1
脑壳子	9:1
脑子	18:5;0:4;17:4;24:3;12:2;21:2;4:2;6:2;19:1;2:1;20:1;30:1;31:1;7:1
脑子里	24:3;18:2;17:1;21:1;6:1
脑汁	1:1;7:1
脑浆	31:2;13:1;16:1;23:1;25:1;26:1;29:1;4:1;7:1
脑海	19:2;21:1;32:1;6:1
脑满肠肥	3:1
脑瓜	31:1
脑瓜子	31:1
脑筋	7:5;22:3;12:2;19:2;20:2;24:2;26:2;31:2;9:2;14:1;23:1;28:1;4:1
脑袋	19:7;9:6;21:5;1:4;24:4;5:3;31:24;12:2;13:2;17:2;20:2;25:2;26:2;28:2;3:2;6:2;11:1;14:1;2:1;22:1
脑袋瓜	31:3;24:1
脑袋瓜儿	31:1
脑际	26:1;32:1;7:1;8:1
脑髓	18:1
脓	4:1
脓包	1:2;18:1;26:1;31:1
脓来	21:1
脓毒	27:1
脓水	30:1
脓疮	16:1
脓疱	20:1
脔	22:1;32:1;7:1
脖子	17:8;31:6;12:2;1:1;10:1;16:1;2:1;20:1;23:1;29:1;32:1;5:1;6:1
脚	28:7;31:7;19:6;14:5;17:4;21:4;5:4;0:3;1:3;26:3;27:3;30:3;4:3;2:2;29:2;32:2;12:1;18:1;24:1;25:1;6:1
脚上	14:1;5:1
脚下	10:2;12:2;13:2;17:2;27:2;31:2;6:2;7:2;1:1;11:1;18:1;19:1;21:1;24:1;25:1;29:1
脚凳	12:1
脚前	31:4;10:1
脚力	26:1
脚后跟	17:1;7:1
脚夫	1:22;17:1;19:1;29:1;4:1
脚寸	19:1
脚尖	20:1;28:1
脚尖儿	28:1
脚底	1:2;21:2;31:2;0:1;10:1;17:1;19:1;20:1
脚心	28:1
脚朝天	18:1
脚本	7:1
脚来	31:1
脚梏	3:4
脚步	19:4;16:3;5:3;14:2;20:2;24:2;25:2;1:1;11:1;12:1;15:1;22:1;26:1;28:1;3:1;6:1
脚步声	1:1;12:1;20:1;6:1
脚爪	12:1;15:1;17:1;21:1;27:1;29:1
脚管	14:1
脚趾	2:3;1:1;14:1;19:1;7:1
脚趾头	2:3;7:1
脚跟	16:2;30:2;31:2;6:2;1:1;14:1;18:1;2:1;20:1;21:1;3:1
脚路	4:2
脚踏	0:1;12:1;15:1;20:1;28:1;32:1;4:1
脚踝	7:1
脚踢	6:2;15:1
脚软	14:1
脚边	29:1
脚镣	1:2;18:1;2:1;23:1;7:1
脱	14:4;1:3;4:3;31:2;7:2;11:1;12:1;16:1;17:1;19:1;2:1;26:1;28:1;29:1;5:1
脱下	21:7;20:4;4:4;1:2;14:2;27:2;10:1;12:1;19:1;22:1;23:1;25:1;26:1;3:1;5:1
脱下来	20:4;4:3;14:2;10:1;23:1
脱不了	3:1
脱个	3:1
脱体	3:3;5:1
脱光	26:3;1:1
脱去	0:3;17:1;4:1
脱售	21:1
脱围	2:1
脱帽	2:5;27:2;12:1;13:1;14:1;20:1;6:1
脱帽致敬	2:2;12:1
脱开	16:1
脱手	23:1;3:1
脱掉	31:2;23:1;7:1
脱毛	1:1
脱离	12:3;20:3;8:3;10:2;29:2;31:2;32:2;0:1;13:1;17:1;2:1;23:1;25:1;4:1;5:1;6:1;7:1
脱离关系	31:1
脱缰	1:1
脱罪	7:1
脱肠	21:1
脱肢	4:1
脱腔	21:1
脱落	15:1;31:1
脱身	4:3;5:2;7:2;10:1;11:1;16:1;25:1;26:1;29:1;3:1;30:1;31:1
脱逃	31:2;11:1;17:1
脱险	0:3;28:2;1:1;26:1;31:1
脱雷	20:1
脸	20:9;32:9;7:9;2:8;31:8;10:7;21:7;22:7;25:7;4:7;5:7;0:6;12:6;17:5;24:5;29:5;9:5;15:4;16:4;26:4;30:4;11:3;13:3;18:3;1:20;27:2;19:14;23:10;14:1;28:1;3:1;8:1
脸上	27:9;4:9;22:7;0:6;12:6;19:6;2:6;20:6;28:6;29:6;30:6;8:6;15:5;17:5;5:5;6:5;9:5;13:4;21:4;25:4;32:4;11:3;16:3;24:3;3:3;14:2;1:12;31:12;10:10;7:10;23:1;26:1
脸会	25:1
脸会变	23:1
脸儿	17:2;1:1;15:1;25:1;27:1;30:1
脸去	27:2;10:1;12:1
脸向	2:1
脸壳	19:1
脸如	1:1
脸嫩	8:1
脸孔	15:4;16:1;30:1;6:1
脸带笑容	0:1;6:1
脸庞	16:3;15:1;3:1;4:1
脸成	17:1
脸拉得	24:1
脸无人色	28:1
脸来	20:2;30:2;4:2;10:1;21:1;22:1;23:1;25:1;27:1;28:1;29:1;32:1;6:1
脸甲	1:1;7:1
脸皮	1:1;19:1;20:1;21:1;3:1;30:1;4:1;9:1
脸相	12:1;13:1;19:1;20:1;21:1;32:1
脸红	16:3;29:3;10:2;11:2;31:2;4:2;1:1;17:1;19:1;2:1;3:1;30:1;5:1
脸绿得	17:1
脸罩	30:3;19:11;26:1;4:1
脸老	8:1
脸肿	3:1
脸能	19:1
脸色	7:8;27:7;26:6;4:6;1:5;10:5;19:5;15:4;16:4;2:4;25:4;12:3;29:3;30:3;32:3;5:3;9:3;18:2;20:2;22:2;24:2;6:2;8:2;0:1;11:1;14:1;17:1;3:1
脸色苍白	1:1;25:1;27:1
脸色铁青	17:1
脸蛋	16:3;17:3;15:2;31:2;24:1;30:1;8:1
脸蛋儿	31:2;8:1
脸要	18:1;26:1
脸谱	1:1;13:1;25:1
脸貌	16:1
脸长	23:1;5:1
脸颊	15:2;0:1;17:1;20:1
脾气	14:9;30:9;18:7;20:6;21:6;32:6;5:6;11:4;13:4;15:4;23:4;26:4;31:4;4:4;6:4;7:4;9:4;12:3;16:3;28:3;0:2;10:2;3:2;1:11;2:10;17:1;19:1;24:1;25:1;29:1;8:1
脾气坏	11:1;21:1;8:1
脾胃	14:1;16:1;17:1;8:1
腆	14:1
腊肠	3:2;1:1
腌	6:2;13:1;17:1;28:1
腌肉	17:2
腌起来	1:1
腌鱼	1:2;10:1
腐儒	19:1
腐化	1:1;13:1;24:1
腐坏	12:1
腐尸	32:1
腐恶	32:1
腐朽	31:2;1:1;10:1;2:1;25:1;28:1
腐烂	7:4;10:3;21:3;17:2;23:2;27:2;28:2;4:2;6:2;15:1;2:1;20:1;26:1;5:1
腐烂不堪	21:1
腐肉	32:1
腐脏	22:1
腐臭	21:1;30:1;5:1
腐舌	22:1
腐草	24:1
腐蚀	24:2;31:2;10:1;12:1;26:1
腐败	2:1;20:1;24:1;32:1
腓	28:54;14:1;19:1
腓利	10:3;32:13
腓力	14:3;31:2;10:1;17:1
腓尼基	10:2
腓尼基人	10:1
腓通	27:1
腔	11:1
腔子	30:1;31:1
腔调	1:2;21:2;0:1;13:1;19:1;3:1
腕	15:1
腕臂	1:1;5:1
腥	15:1
腥味	1:1
腥气	18:1;20:1;22:1;28:1;5:1;6:1
腥红	27:2
腥臊	2:1;31:1
腥臭	17:2;10:1
腭	14:1
腮	20:2;31:1
腮帮	31:5;21:1
腮帮子	31:2
腰	20:3;28:2;0:1;23:1;3:1;30:1;31:1;7:1;9:1
腰佩	7:1
腰包	31:1;7:1
腰围	11:1;9:1
腰带	1:2;20:2;19:1
腰斩	13:1;2:1
腰来	17:1
腰细	1:1
腰肢	31:1
腰身	18:3;1:2;14:2;19:2;21:1;7:1;8:1
腰边	1:1;16:1
腰酸	0:1;1:1
腰酸背痛	0:1;1:1
腰间	16:1;3:1;7:1
腰麻	18:1
腹	1:1;13:1;27:1;8:1;9:1
腹中	20:2;1:1;2:1;21:1;22:1;28:1;3:1;5:1;8:1
腹内	1:1;12:1;24:1;31:1
腹地	25:1
腹孕	3:2
腹心	21:1
腹痛	8:1
腹部	1:1
腹鼓	25:1
腻	16:1;7:1
腻滑	26:1
腻烦	16:1;30:1;31:1
腼	14:1
腼腆	14:1;24:1
腾云	28:1
腾云驾雾	28:1
腾出	1:2;17:1;24:1
腾出来	1:1
腾涌	28:2
腾空	1:2;31:1
腾腾	1:4;25:3;16:2;17:2;31:2;12:1;14:1;2:1;20:1;21:1;23:1;26:1;27:1;5:1;6:1;7:1;9:1
腾跃	21:1
腾达	24:2;25:2;21:1;23:1
腿	0:9;19:6;28:5;31:5;14:4;16:4;11:3;20:3;21:3;15:2;3:2;30:2;5:2;8:2;9:2;1:12;12:1;13:1;17:1;2:1;25:1;26:1;27:1;6:1
腿力	31:1
腿子	31:2
腿脚	31:1
腿走路	28:1
腿软	17:1
腿酸	14:1
腿骨	1:1;16:1;19:1
膀子	15:2;18:1
膀胱	21:1
膀臂	31:1
膂	31:1
膂力	10:2;31:2;21:1;23:1;26:1;32:1
膈膜	17:1
膏	27:3;12:1
膏油	25:1
膏田	28:1
膏盲	7:1
