猜猜	23,31
嗄	1,7,31
嗅	1,19,20,26
嗅出	4,19,20
嗅到	0,1,7,8,10,14,20,26,28,29
嗅觉	4,7,13,19
嗓	2
嗓子	12,15,16,17,21,25,30,31
嗓子眼	17
嗓子眼儿	17
嗓门	30
嗔	29,30
嗔怒	3,12
嗔怪	3,8,22,26,27
嗔视	10
嗖嗖	5
嗜	1,7,8,22,31
嗜好	1,12,23
嗜欲	23
嗜血	1,7,24,25,31
嗜血成性	24,31
嗜酒	28
嗟	30
嗟叹	8,12,19,27,29
嗡咙	26
嗡嗡地	24
嗣	4,6,11,22,25,27,28,31
嗣位	7
嗣子	1,31
嗣息	28,30
嗣承	31
嗤	3,7
嗤笑	28,31
嗥	15,31
嗥叫	16,27,31
嗥声	22
嗦	8
嗨	0,1,2,4,7,14,15,17,19,20,25,27,28,29,31
嗳呀	1,4,5,11,14,23,30
嗷嗷	8
嗷嗷待哺	8
嗽	5,21
嗾	2,12,23,25,26,27,28
嘀咕	31
嘀嗒	27
嘀嘀	31
嘀嘀咕咕	31
嘁	17
嘁嘁喳喳	24
嘈杂	17,26,28
嘈杂声	17
嘈音	3
嘉奖	25
嘉宾	8,12,13,22,29
嘉德	18
嘉格	31
嘉礼	6,16
嘉禾	5
嘉纳	2,15,23,26,31
嘉许	10,12,19,25,27,30
嘉谷	19
嘎嘎	20
嘘嘘	15,32
嘘成	5,29
嘘气	3
嘟嘟	31
嘟嘟囔囔	31
嘟囔	31
嘤	16,18
嘱其至	12
嘱咐	3,4,14,17,23,24
嘱托	7,19,23,31
嘲弄	15,17,22,23,25,28
嘲热	1,2,19,26,30
嘲笑	1,2,3,5,10,15,16,17,18,19,20,21,24,25,28,29,30,31,32
嘲笑声	24
嘲笑者	15
嘲讽	15
嘲谑	30
嘲骂	0,15,26
嘴	0,1,2,4,5,6,7,8,10,11,13,14,15,16,17,18,19,20,21,23,24,26,27,28,29,30,31,32
嘴上	3,24
嘴儿	16,17,23
嘴去	26
嘴哩	14
嘴唇	0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31,32
嘴巴	0,1,2,3,10,12,14,15,18,20,25,28
嘴快	14
嘴来	29
嘴皮	3
嘴硬	18
嘴脸	6,13,15,19,20,21,26,27,31
嘴角	0,27,28
嘴边	1,2,12,21,23,24,25,32
嘴里	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
嘶	1,5,10,12,14,15,17
嘶叫	6,7,29
嘶号	17
嘶哑	5,13,22
嘶声	15,31
嘶破	2
嘶鸣	17,32
嘹亮	1,8,20
嘻乎	16
嘻嘻	6,30
嘻嘻哈哈	6,30
嘻开	19
嘻笑	25
噎	11,31
噎住	13,29
噎塞	0
噘	2,5,21,25
噙	6,27,31
噜	8,18,19
噜嗦	8,25,30
噜苏	0,6,16,18,19,25,28,31
噢	0,3,4,11,14,15,16,18,23,26,28,31
噤住	7
器具	5
器宇	24,25
器官	2,4,12,17,19,20,21,28,29
器度	19
器械	31
器皿	1,14,24
器重	17,24,25,31
器量	4
噩梦	4,29,31,32
噩耗	1,3,5,10,12,31,32
噪	4
噪声	5
噪音	8,11,21,31
噫	12,16,31
噬人	27
噬噬	14
噶	24
噶登纳	24
嚎	17
嚎啕	11,31
嚎啕大哭	31
嚣张	14,31
嚷	0,1,2,3,6,7,8,9,10,12,14,15,17,18,19,20,21,23,25,26,28,32
嚷出	25
嚷叫	1,2,21,26,27,29
嚷嚷	15,17,31
嚷声	3,11
嚷起来	25,26
嚼	6,12,13,15,18,24,25,27,32
嚼舌	10,18,23,25
嚼舌头	23,25
囊	1,6,12,13,19,20,24,26,27,30
囊中	13,31
囊中物	31
囊括	12
囊空如洗	8
囔囔	31
囚	23,27
囚人	2,4,10,12,16,20,27,29
囚君长	32
囚室	7,29
囚屋	19
囚徒	2,4,10,20,28,29,31
囚牢	19,20,23,28,31
囚犯	1,2,4,5,9,12,13,17,19,20,23,24,26,29
囚禁	17,24,25,28,31
囚笼	20
囚衣	1,2
囚车	1,14,17
囚进	25
囚门	7
四七	26
四七二十八个	26
四万	1,4,7,17,26
四万个	7
四下	2,25
四下里	2
四世	1,18,25,27,31
四个	1,2,4,6,7,8,11,12,15,16,17,18,19,20,22,24,27,31,32
四五	0,1,3,4,7,10,28
四五个	0,3,28
四五代	3
四五十	1
四五岁	4
四人	1,2,14,15,19,24
四仙	15
四代	7
四位	6,19,24,31
四出	8,10,32
四分	1,2,8,17,27,30,32
四分之一	1,2,17,27
四分之三	2,27,32
四分五	8
四分五裂	8
四匹	13
四十	0,1,2,5,7,8,9,15,17,18,20,24,26,27,29,31
四十个	0,2,17,18
四十二	5
四十八	20
四十八个	20
四十分钟	15
四十块	5,9
四十天	8
四十年	27,29,31
四千	8
四千块	8
四只	19,28
四名	24,31
四周	1,5,8,12,14,28,32
四回	16
四国	0
四场	0,1,2,3,5,6,7,8,9,10,11,12,13,14,16,17,18,20,21,22,23,24,25,26,27,29,30,31,32
四境	7,17
四壁	14,20,25,27
四声	0
四处	5,20,28,32
四处张望	32
四大	0
四天	1,2,10,15,17,19,23,31,32
四字	14
四季	1,16
四射	25
四尺	24
四岁	3,4,5,8,30
四平	16
四平八稳	16
四年	0,6,8,23,27
四座	11
四张	1
四德	18
四房	31
四播	14
四散	1,7,12,15,21,25,27,29,31
四方	1,6,8,12,17,19,31
四日	1,6,15
四旬	1,3,31
四时	20,23
四月	4,5,6,10,11,16,21,28,29
四月八	4
四条	11,18,28
四根	21
四次	0,1,10,18,22
四步	1
四海	0,14,17
四海之内	17
四点	1,6,12,17,23,25
四班	4
四瓣	25
四百	1,17
四百人	17
四码	17
四磅	4
四种	17,19
四章	3,15,31
四肢	6,9,13,19,23,24,29
四脚	17,31
四脚蛇	31
四臂	1
四艘	6
四荒	27
四行	17,18,19
四角	6
四起	25
四身	23
四遍	17
四面	6,11,21,24,31
四面八方	6,21,24,31
四面受敌	31
四颗	5
回	0,1,2,3,4,5,6,7,8,9,10,12,13,14,16,17,19,20,22,23,24,25,26,27,30,31
回不转	20
回乡	31
回事	0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32
回信	6,20,24
回光返照	5
回击	31
回到	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,20,21,22,23,25,26,27,28,29,30,31,32
回升	31
回去	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32
回口	9
回合	7,16,18,19,21
回味	31
回嗔作喜	8,10,12
回嘴	25
回国	1,4,6,7,8,10,12,17,19,20,24,26,27,29,31
回声	0,1,5,7,14,15,22,29
回复	1,2,3,6,7,8,10,12,15,17,20,21,22,26,27,29,30,31
回头	3,4,6,11,13,18,22,23,25,28,29,30
回头一看	25
回头见	3,6,13,18,23,30
回宫	1,4,21,23,24,31
回家	0,1,2,3,4,5,6,9,11,12,14,15,16,17,18,19,24,26,28,29,31,32
回家吧	17
回帕度	6
回店	9
回心	2,5,6,9,12,19,23,24,26,31
回心转意	2,5,6,9,12,19,23,24,26,31
回忆	1,3,15,17,20,21,22,25,27,29
回忆起	1
回想	2,4,8,12,22,24,25,31
回想到	2,4,12,31
回想起来	25
回手	18
回护	1,7,10,26
回报	0,4,16,17,25
回敬	8,17,31
回旋	15,21,26
回来	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
回生	3,11,31
回禀	17,24,31
回答	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32
回算	30
回绕	23
回绝	18,26
回翔	31
回老家	10,22,23,31
回船	6
回营	1,2
回话	7,9,31
回转	6,7,26,31
回过	5,8,12,17,23,26,31
回过头来	8,12,17,26
回避	0,7,9,16,20,27
回音	0,1,6,13,16,18,20,21,23,25,30,31
回顾	7,17,26,32
回骂	31
因亨	31
因人	2
因人成事	2
因功	2,6
因受	12
因地	25
因夫亡	25
因妒	8
因彼系	8
因循	1,4,7,10,23,28
因恐	0,3,4,12,16
因斯	1
因无子	6
因有	25
因果	25
因果报应	25
因特	27
因狂	15
因疯	24
因破誓	4
因贪淫	8
因赫	15
因闻者	15
因风	23
因飞近	31
团团	1,15,17,18,20,22,28,29
团团围住	1,18
团团转	18,20
团圆	3,16,19,20,26
团结	1,8,10,24,25,29,31
团结一致	8,31
团结起来	1,24
团聚	8
囤积	22
园丁	17,26,27,31
园中	4,16
园亭	1,32
园圃	17,26
园地	31
园墙	5,31
园子	0,1,12,16,17,18,21,24,27,31
园庭	15
园里	0,1,4,7,10,14,17,18,19,23,25,30,31
园门	0,1
困乏	25,31
困于	7
困倦	25
困厄	4,25
困境	25
困守	31
困居	31
困惫	31
困扰	7,22,32
困穷	10,20
困苦	1,2,4,8,12,13,16,20,22,26,27,31,32
困迫	21
困难	2,4,5,6,12,13,17,21,22,32
困顿	8
围	17,31
围住	1,2,14,18,21,25
围困	10,17,21,31
围场	8,15,21,27,31
围城	26,31
围墙	3,21,27
围巾	2,4,18
围拢	2
围攻	2,12,17,19,22,28,31,32
围桌	13,25,26,32
围炉	27
围烛	32
围着	18,28
迎战	2,22,31
迎接	1,2,3,4,6,7,8,10,12,14,15,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32
迎敌	2,7,20
迎新	7
迎来	27
迎着	1,21,31
迎面	1,9,20,27,28,32
迎面而来	1,28,32
迎风	2,5,31
运	31
运到	17
运动	12,21,23,26,31
运动员	31
运命	1,2,3,4,5,7,8,11,13,16,21,28
运数	31
运木	28
运气	0,1,4,5,6,7,8,10,14,17,18,20,24,26,28,30,31
运用	1,2,3,4,6,10,13,14,17,19,21,22,23,25,26,27,29,30,31,32
运筹	2,11,21
运筹决策	2
运筹帷幄	21
运行	5,10,20,21,22,31,32
运走	31
运转	1,10,31,32
运输	2
运送	17,29,31
运酒	27
近	1,2,3,6,13,15,19,21,22,24,27,31,32
近东	19
近乎	17
近于	6
近些	32
近亲	5,11,13
近似	1,18
近侍	0,3,15,23,27
近况	0,6,13
近前	15
近在	1,16,29
近在眼前	1,16,29
近墨者黑	19
近处	31
近年	12,31
近年来	12,31
近情	18,19,26,31
近情理	18,19,26,31
近支	27,31
近旁	3,7,8,13,15,17,18,26,29
近日	24
近朱者赤	19
近来	1,2,3,4,6,7,12,13,18,20,24,25,30,31,32
近海	28
近视	1
近路	4
近边	31
近过	22
近邻	6
近郊	23,31
迓	0,6,29
返	7
返之罪	7
返任	22
返入	13
返回	31
返国	17
返家	9
返照	5
返老还童	6,19
返身	17
还乡	27
还亮	18
还价	17
还会	1,2,3,5,6,7,8,12,13,14,17,18,19,20,21,22,23,25,26,27,28,29,30,31
还会来	1
还作	19,24
还信	11
还债	6,13
还值	24
还击	31
还判	24
还刻	16
还原	16,19
还发	25
还同	31
还君	3
还坏	27
还太轻	0,20
还好	3,6,15,16,25
还存	17
还守	17
还害	15
还富	24
还强	21
还念	11,16
还惯会	19
还成	25
还手	19,20
还拔	9
还挥	9
还敢	12,17,23,31
还敬	9
还望	25
还来	25
还染	1,29
还款	6
还求	25
还治其人之身	11,14,23,31
还活	5,10
还清	1,6,13,20,21
还用	1,13,14,18,21,24
还用说	1,13,14,18,21,24
还留	7
还算	19
还算慢	19
还给	0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31
还肯	25
还蠢	28
还觉	24
还许	23,24,31
还识	17
还账	1
还跟着	23
还轻	10
还造	1,17
还重	30
还长	12,18,31
还顾	8
还题	29
这一	0,1,6,7,8,10,15,17,18,19,20,22,24,25,27,28,29,31,32
这一下	0,2,7,12,17,25,28
这一丛	15
这一仗	17,25,31
这一关	7,17
这一别	17
这一去	5,8,10
这一吻	5,24,31
这一柄	1,6,7,10
这一注	12,19
这一着	12
这一觉	14
这万结	8
这三只	6
这三对	15
这下子	17,19
这且	11,25
这两点	1
这两项	27
这串	5
这久列	12
这么一来	4,23
这么久	0,5,7,12,13,20,24
这么回事	17,26
这么晚	5,13,24
这么着	15,31
这义	25
这事	0,3,4,5,10,12,14,16,17,22,23,24,25,28,29,30,31
这事绩	25
这事要	28
这井中	27
这些年来	31
这人	0,1,2,3,4,7,10,13,14,16,18,22,23,28,31
这人押	31
这人能	23
这人长	1
这仅	8
这件	0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
这份	3,13,14,17,18,24,25,31
这伙	31
这会	28
这位	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
这使	22,24,31
这俗	5,31
这信	6,11,12,16,18,19,20,23,24,26,31,32
这信里	2,6,12,20
这倒	0,3,4,5,6,10,11,12,18,21,22,23,24,25,28
这像	4
这克洛顿	12
这全	17
这具	5,25
这准	1,15
这几天来	26
这几年来	8
这出	1,7,11,15,17,21,24
这刻	1
这匹	2,25
这升	22
这华	31
这卷	24
这原	31
这厢	7,8,15,16
这受	26
这口	8,21,31
这句	0,1,2,3,4,5,6,7,9,10,11,12,14,15,16,17,19,21,24,25,26,27,28,29,30,31,32
这可奇	2,4,7,9,18
这可怪	24
这可糟	14
这可要	30
这可难	4
这吉屋	15
这向	8
这善	2
这四名	31
这回	0,1,2,3,4,6,9,11,14,15,16,17,18,19,20,21,23,24,26,28,29,30
这团	1,25
这国	25,27
这国里	12
这场	0,1,2,3,4,5,6,7,8,9,12,14,16,17,18,19,20,21,23,24,25,26,28,29,30,31,32
这坏	18,21,32
这块	1,3,5,7,8,12,15,16,17,19,22,23,25,28,31,32
这坟	7
这堆	28
这堡	22
这塔堡	25
这墙	15
这夏禄	1
这多血	25
这天	21,29
这太	14,17,19,20,26
这太说	3
这头	1,9,11,14,15,16,17,18,28,29
这头鹿	32
这套	1,7,24,25
这奸	17
这害	21
这家	1,31
这封	11,29,31
这小	4,22,26
这小棍	3
这小鹅儿	8
这尿	1
这尿是	11
这层	25
这岛	28
这席	31
这帮	19,24
这幅	13
这幕	17,26,30
这年头	20
这府	0
这座	0,1,4,5,8,9,11,12,15,16,17,18,20,22,24,25,26,27,28,29,31,32
这庵	9
这庵院	9
这张	1,15,17,20,24,25,31,32
这径	27
这待	23
这得	3,11
这念	21
这念词	7
这怕	24
这怪	28
这恶	5,29
这戏	15,24
这戏里	24
这成	14
这戒	19
这所	26
这所庵	9
这手	16,26,28,29,31
这才	1,2,4,5,8,10,11,13,17,18,19,21,22,23,24,25,26,29,30,31,32
这批	0,1,3,12,14,16,21,23,30
这拉帆	28
这支	7,17,20,24,31
这新	22
这方	1,3,7,8,10,14,17,22,23,24,25,26,31
这方面	1,3,7,8,10,14,17,22,23,24,25,26,31
这无药	19
这时候	1,4,5,7,8,12,13,14,17,18,23,26,27,28,29
这是	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
这曲儿	8
这有	3,17,25,29,31
这服	11
这本	0,1,5,15,17
这朵	1,9,31
这束	23
这条	0,1,5,6,9,10,11,12,13,15,17,18,20,21,23,25,26,28,30,31,32
这杯	4,7,8
这枝	6
这枝枪	27
这柄国	8
这查	10
这树下	16
这株	5,16,18,29,31
这样一来	0,1,19,24,31
这样的话	0,1,2,4,5,6,7,8,9,10,12,13,16,17,19,20,21,22,23,26,27,28,29,30,31,32
这根	21,24,28,31
这桩	3,16,18,31
这梦	12,31
这棵	31
这歌	4
这正	5
这步田地	7
这段	0,1,7,14,15,16,17,27,30,31
这段话	15,17,27
这毁	19
这比	11,15,17,28,31
这波	1
这注	14
这浪	10
这浪妇	31
这海	8
这海女	15
这点	0,1,3,4,7,9,13,17,19,23,24,25,30
这点儿	17
这烂	21
这烘坏	21
这片	6,11,17,24,25,26,27,31
这狗	0,3,9,11,14,15
这狠恶	29
这猴	5
这班	4,7,12,14,17,25,27
这班人	11,17,19,25
这班嚣	25
这班狗	17
这琴	14
这瓶里	5
这番	0,1,2,8,12,18,19,20,21,24,25,26,27,31
这番话	1,7,10,13,14,17,19,20,21,24,26,27,31
这病	1,3
这痛	3
这白	1
这盏	15
这真	12,18,20,24,31
这破	14,28
这确	7,25,28,31
这磅肉	6
这种	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
这笔	1,6,8,9,13,17,18,19,21
这算	1,3,5,7,10,13,14,16,17,18
这算个	20
这篇	31
这类	22,24,25
这约	6
这纸	1,11,27,31
这纺轮	7
这细	28
这绳	9
这维泽	1
这维泽是	1
这网	8
这罩	21
这群	2,25,27
这群人	17,24
这群鹿	31
这老	20
这肉	3,14
这股	14,28
这胖	1
这能	31
这腿	21
这舍拉区	17
这船	28
这艘	8
这花	15
这花液	15
这草	15
这菲萝登	8
这蠢	14,16,21
这蠢象	21
这行	23
这袋	3,9,25
这要	0,27,31
这话	1,2,3,4,5,9,11,14,17,18,19,22,23,24,30,31,32
这贱	1,11
这贼	18,26
这路	20,24
这践	9
这身	0,2,4,8,11,12,13,14,16,17,20,21,28,31
这载	1
这辈	1,3,4,15,16,28
这辈子	3,14,23
这通	4
这道	1,17,23,24,31
这道关	17
这部	17
这酒	1,28
这酸	14
这重	28
这野	4
这金	6
这钱	9,17
这门	5,9,10,11,12,14,17,23,28,30,31
这门里	22
这间	14,18
这阵	15,24,31
这雌儿	18
这雹	10
这面	3,14
这顶	1,14,18,20,27,31
这项	17,31
这颗	0,1,3,5,8,10,12,13,20,24,25,30,31
这风	8,31
这首	3,8,16,19,30
这马	25
这马歇斯	2
这鹿	18
进	0,1,2,5,6,7,8,9,10,11,12,14,16,17,18,20,21,22,23,25,26,27,28,30,31,32
进一步	1,3,4,7,8,12,17,22,23,24,31,32
进之路	24
进书	18
进入	0,1,2,3,7,12,13,17,19,22,24,25,27,29,31,32
进兵	16,17,32
进军	1,2,17,22,25,27,31
进出	4,27
进到	22
进占	5,32
进去	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
进发	1,10,12,13,17,20,24,26,27,31,32
进取	12
进哈弗	17
进地	28
进场	27
进城	2,10,17,23,31
进域	31
进堡	22
进塔去	25
进塔牢	25
进塔狱	31
进塾	19
进墓	5
进它	5
进宫	1,7,10,17,21,25,29
进尺	24
进展	11,21,24,27
进帐	19,21
进庵	9
进庵院	23
进得	1,17
进房	11
进攻	1,2,3,5,6,7,10,12,17,18,19,21,23,26,27,29,31,32
进晚餐	4,25,31
进暗	25
进来	0,1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
进款	31
进步	1,3,7,14
进港	26
进爵	1
进犯	2,25,26,27
进益	7,23
进行	1,2,3,4,6,7,10,11,12,14,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31
进行曲	2,7,20
进行谈判	19
进袭	1
进谏	25
进贡	28
进账	17,18
进身	5,10,20
进身之阶	5,10
进退	5,10
进门	5,6,9
进餐	1,13,19,22,25,26
进饿	29
进香	1,3
进香客	3
进鸟	5
远	0,1,3,4,5,6,9,10,11,12,13,14,15,16,19,20,21,22,24,26,27,28,31,32
远不如	7,13
远为	27
远些	28,29,31
远别	7,32
远去	12,20,26,28
远在天边	29
远处	1,2,3,6,7,9,10,11,13,15,19,20,21,25,26,27,31
远多近	4
远大	2,10,21,22,26,31
远客	6
远山	15
远征	1,6,13,15,21,27
远房	17
远播	15,28,29
远方	2,8,15
远来	29
远求	29
远涉	8
远涉重洋	8
远渡	8
远点	3,9
远略	8
远祸	7
远离	3,8,9,10,12,13,16,19,24,25,27,28,29,30
远而避	30
远胜	2,4,5,8,12,21,32
远虑	1,10,21
远行	3,8,11,21
远见	6
远走	4,5,10,15,21,22,31
远走高飞	4,5,31
远超过	1,4,7,13,15,18,21
远路	1,10,11,16
远近	19
远远	2,3,4,5,6,8,10,11,12,17,18,19,20,22,24,30,31,32
远远地	2,4,5,8,17,24,31
远适	20
远逐	5
远遁	1
远道	3,7,8
远避	13,22
远隔	4,16,27
远隔重洋	4
远震	9,27
远非	24
违	11,31
违则	25
违反	2,3,4,5,7,8,13,17,18,19,20,21,22,24,25,26,27,30,31
违反规定	24
违命	4
违心	20,22,23,27
违心之言	27
违心之论	23
违悖	31
违情	7,17
违抗	1,4,5,10,15,17,21,24,25,27
违抗命令	10
违拂	5
违拗	13,15,25,28
违法	1,2,20,25,31
违法乱纪	1,2,25
违犯	5,6,7,9,31
违禁	19
违约	6
违者	31
违背	2,3,6,8,11,18,19,20,21,23,24,25,28,30,32
违背良心	18
连一	31
连个	17,24,31
连串	16,17,22,30
连书带	14
连人	7,9,14,31
连像	26
连到	24
连向	8
连嚷	4,17
连在	5,15,21,32
连在一起	5,15,21,32
连坐	3
连块	17
连城	6,31
连声	2,4,25
连夜	1
连头	19
连带	4,10,12,20
连年	25
连忙	1,11
连手	6,28
连接	20
连接起来	20
连日	17
连枝带叶	31
连根	24,27,31
连根拔	22,26,27,28,31
连根拔起	22,26,27,28
连气	9,17
连片	23
连狗	20
连王	31
连生	15
连碰	31
连篇	17
连篇累牍	17
连篓	18
连累	0,3,9,18,22,25,29,32
连累到	0
连结	7,15
连络	4,21
连续	7,12,26,28
连续不断	26
连装木	8
连要	14
连话	31
连话都	27
连赫	7
连赫刺	31
连连	17,31
连长	31
连顿	29
迟	4,6,7,8,9,12,14,16,18,20,21,23,24,25,27,30,31
迟到	6,24,25,31
迟延	1,7,31
迟慢	21
迟早	12,17,22,30
迟早会	17
迟暮	1
迟生	20
迟疑	2,5,6,11,12,22,23,24,31
迟疑不决	31
迟缓	25,27,31
迟迟	1,12,15,25,31
迟钝	9,11,12,16,17,19,21,22,25,32
迢迢	3,6,9,11,15,17,19,21,26
迢迢万里	9
迢遥	27
迦勒	1,18,31
迦南	31
迦太基	6,14,15,19,28
迨	4
迩	32
迪南	14,19,24,28
迫	9,17,28
迫不及待	7,17
迫不得已	1,2,3,8,23,32
迫于	2,7,21
迫令	26
迫使	0,23,24,25,31
迫克	15
迫克上	15
迫克及	15
迫克外	15
迫克祝	15
迫克自	15
迫克重	15
迫切	1,2,3,10,21,25
迫切需要	1
迫在	25,31
迫在眉睫	25,31
迫害	0,1,5,6,20,21,26,28,31
迫近	17,22,31
述	31
迷	0,1,4,14,21,26
迷上	14
迷乱	5,7,20,22
迷人	3,5,7,9,10,12,15,18,19,20,26,28,29,31
迷住	1,7,11,12,16,18,24,30
迷信	8,16,18,21,24,29,31,32
迷塞	30
迷失	2,8,9,10,12,13,15,24,26,28,31
迷失方向	24
迷宫	11
迷得	0,9
迷恋	0,1,10,11,15,19,30
迷恋着	15,30
迷惑	5,7,8,9,10,15,19,22,25,26,28,29,30,31
迷惘	7,8,28
迷才	0
迷昏	9,15,26,28
迷昏晓	23
迷来	11
迷梦	15
迷津	9
迷眼	3
迷离	19,31
迷糊	14,21,28
迷藏	19
迷路	11,15,27,28
迷迭香	4,5,7,20
迷迷	14,21
迷迷糊糊	14,21
迷途	10,31
迷醉	0,1,3,9,10,18,21,29
迷雾	5,9,12,17
迷魂	1,9,25
迷魂药	1
迸出	3,4,20,31
迸出去	31
迸流	17
迹象	31
追	0,2,3,4,5,11,12,14,18,19,20,21,22,26,28,31
追上	0,1,3,6,7,10,11,12,18,20,22,23,26,27,28,31,32
追上去	0,1,3,6,7,10,20,23,26,27,28
追下	4
追不上	15,22,26
追兵	1,31
追击	7,31,32
追到	2,9
追去	8,11
追及	7,15
追叙	2,8
追噬	25
追回	3
追回来	3
追寻	1,2,5,6,12,13,15,16,19,20,21,23,26,27
追寻着	12
追得	15,17,26,31
追忆	12
追念	2,27
追思	29
追悔	10,22,23,25
追悼	32
追捕	1,2,15,29
追本溯源	17
追本穷源	27
追杀	25,31
追步	1
追比	14
追比恩卡	14
追求	1,2,3,4,6,8,10,11,12,13,15,16,18,19,20,21,23,24,26,27,28,29,30,31
追溯	12
追溯到	12
追着	29
追究	4,12,17,23,28
追索	7,13,14,21
追至	2
追赶	0,1,2,4,5,10,11,12,15,19,22,24,25,26,31
追踪	1,2,3,7,15,21,25,27,29
追过	1,17
追过来	17
追进	2
追述	25
追逐	0,1,2,6,10,12,15,18,20,25,26,27,28,29,31
追逼	10
追问	1,4,8,9,22,30,32
追随	0,1,3,5,6,8,10,12,13,15,16,17,19,20,21,25,26,27,28,29,31,32
追随着	1,5,8,10,15,16,21,25,27,28,32
退	0,1,2,3,4,7,10,14,17,19,22,27,28,29,31
退一步	10,30
退一步说	30
退下	1,2,5,7,10,11,12,20,21,27,29,31
退下去	1,2,5,7,10,11,12,20,27,29
退下来	31
退为	2
退位	17,27,31
退入	25
退兵	31
退出	4,17,19,27
退到	31
退卧	15
退却	1,2,12,14,16,21,22,31
退去	1,17
退后	2,3,5,7,11,14,16,18,19,25,26,27,29,30,32
退回	11,21
退回去	21
退场	2,15,19
退守	17,18
退居	13
退庭	6,24
退归	1,31
退换	21
退朝	31
退步	7
退潮	28
退立	7,18,19
退缩	1,2,7,17,24,26,28,30,31,32
退缩不前	2,31,32
退至	1,16,31
退落	1,10
退让	8,21,26,31,32
退走	6,26
退路	1
退还	3
退避	1,2,12,17,19,31
退避三舍	17
退阵	31
退隐	27
送	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
送上	0,7,11,23,25,27
送上去	4,15,29
送上来	0,13
送上门	1,5
送与	4
送些	11,13,17
送人	1,2,6,13,17,31
送信	3,5,10,11,13,16,18,19,23,27,29,30,31
送信人	3,16
送入	8,15,25
送出	5,18,20,23,24
送出去	5,18,20,23,24
送别	31
送到	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,23,24,27,28,29,31,32
送命	2,3,4,5,7,13,18,19,23,28,30,31
送回	9,22,31
送往	24,25,27,31
送往迎来	27
送得	1,17
送掉	3,6,17,23,27,31
送来	1,2,9,10,11,12,13,17,19,24,25,27,29,31
送死	7,16,22,31
送殡	25
送毒	10
送狗	11
送球	17
送礼	7,11,13,19,29,31
送终	31
送给	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
送葬	7,8,25,28,31
送葬者	7,31
送行	11,31
送走	31
送达	1
送过	11
送还	1,5,10,27,29,31
送还到	27
送还给	1,5,10,29
送进	10,11,20
送进去	10
送错	11,19
适中	0
适于	0,1,25
适合	0,1,2,3,4,11,12,14,15,16,17,19,20,22,27,29,31
适处	1
适如	3,19,29
适宜	2,8,11,12,13,15,16,19,21,22,23,28,29,31,32
适应	1,12
适度	3,7
适当	0,1,2,4,5,7,8,10,12,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,31,32
适当其时	1
适才	3,31
适有	6
适用	7,12,25
适足	24
逃	1,2,3,4,5,6,7,8,9,10,12,13,14,15,17,18,20,21,22,23,25,26,28,30,31,32
逃下	1,8,26,31
逃不了	3,4,7,8,11,12,15,17,18,25,26,29,31
逃不出	11
逃不脱	31
逃不过	3,6,7,8,13,17,19,21,22,23,32
逃之夭夭	31
逃亡	4,10,22,25
逃光	31
逃入	9
逃兵	1,10
逃出	4,5,6,7,8,9,15,16,18,28,31,32
逃出来	7,9,18,31
逃到	2,5,8,22,25,27,31
逃匿	22
逃去	4,20,22,28
逃命	7,9,25,28,31
逃命要紧	31
逃奔	19,22
逃好	31
逃开	4,9,13,15
